	content	id-snippet	count_countries	mentions_countries
10	amends the federal criminal code to provide for the forfeiture of the assets of any person planning or perpetrating an act of international terrorism against any international organization or foreign government provides that where the property sought for forfeiture is located beyond the territorial boundaries of the united states an act in furtherance of such planning or perpetration must have occurred within u s jurisdiction sec 	hr3199-109.2	0	None
11	authorizes the president to deny u s entry to any alien who   is in the senior leadership of the government of belarus   is an immediate family member of such person or   through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine democratic institutions or impede belarus transition to democracy expresses the sense of congress that   no loan credit guarantee insurance financing or other similar financial assistance should be extended by any u s agency including the export import bank and the overseas private investment corporation to the government of belarus except for humanitarian goods and agricultural or medical products and   no funds available to the trade and development agency should be available for agency activities in or for belarus expresses the sense of congress that the president should block all property and property interests that on or after the date of the enactment of this act   are owned in whole or in part by the government of belarus or by any member or family member closely linked to senior government leadership or any person who through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine or injure democratic institutions or impede belarus transition to democracy and   are in the united states or in the possession or control of the u s government or of any u s financial institution including any branch or office located outside the united states states that activities prohibited by the blocking of such property interests should include   payments or transfers of property or anything of economic value by any u s person to the government of belarus or to any entity or person acting on its behalf or to any member of its senior leadership   the export or reexport to any entity owned controlled or operated by the government of belarus of any goods technology or services either by a u s person or involving the use of any air carrier or a vessel documented under u s law and   the performance by any u s person of any contract including a contract providing a loan or other financing in support of an industrial commercial or public utility operated controlled or owned by the government of belarus exempts from such prohibitions   assistance under sections   or   of this act or   medicine medical equipment food or other humanitarian assistance provided to belarus in response to a humanitarian crisis belarus democracy reauthorization act of   sec   amends the belarus democracy act of   to state that it is u s policy to   call for the immediate release of all political prisoners in belarus   support the aspirations of the people of the republic of belarus for democracy human rights the rule of law and to preserve their country s independence   support the growth of democratic movements and institutions in belarus   refuse to accept the results of the march   presidential elections in belarus and support new presidential elections   refuse to recognize any referendum that would affect belarus sovereignty and   work with other countries and international organizations to promote belarus integration into the european community of democracies sec   revises the activities which may be supported by assistance under this act including support for youth groups independent trade unions and entrepreneurs human rights defenders independent media democratic political parties and international exchanges extends authorization of appropriations through fy  for such purposes sec   includes television broadcasting within the scope of increased support and funding for u s government and surrogate broadcasting to belarus currently such support is limited to radio broadcasting sec   establishes specified economic and u s entry sanctions against belarus until the president certifies to the appropriate congressional committees that the government of belarus has made progress in meeting specified conditions respecting   release of political and religious prisoners and accounting for the disappearances of opposition leaders and journalists   cessation of political harassment   prosecution of senior government leaders for embezzlement of state assets and administration of fraudulent elections and   holding free presidential and parliamentary elections under independent supervision 	hr5948-109.1	0	None
12	 sec   prohibits bilateral assistance funds to any country which the president determines grants sanctuary from prosecution to any individual or group which has committed an act of international terrorism or otherwise supports such activities authorizes a waiver of this prohibition by the president for national security and humanitarian reasons requiring notification to the committees on appropriations sec 	hjres2-108.1	0	None
13	  prohibits the provision of funds to any foreign government that provides lethal military equipment to a country that the secretary of state has determined has a terrorist government unless the president determines that the furnishing of such assistance is in the u s national interest 	hjres2-108.2	0	None
14	 sec   bars assistance to any country that is not in compliance with the united nations un sanctions against iraq unless the president certifies to the congress that such assistance   is in the u s national interest   will directly benefit the needy people in that country or   will be humanitarian assistance for foreign nationals who have fled iraq and kuwait 	hjres2-108.3	3	 kuwait iraq
15	 sec   directs the secretary of the treasury to instruct the u s executive director of each international financial institution to vote against the extension of any loans to the government of zimbabwe except to meet basic human needs or promote democracy unless the secretary of state certifies to the committees on appropriations that the rule of law has been restored there including respect for ownership and title to property and freedom of speech and association 	hjres2-108.4	0	None
16	 sec   prohibits the use of foreign military financing and imet funds for nigeria until the president certifies to the committees on appropriations that the nigerian minister of defense the chief of the army staff and the minister of state for defense army are suspending from the armed forces those members against whom there is evidence of gross violations of human rights in benue state in october   and the government of nigeria and the nigerian armed forces are taking measures to bring them to justice authorizes the president to waive such requirements if it is determined to be in the national security interests of the united states sec   prohibits the use of funds for   the export of nuclear equipment fuel or technology except for nuclear safety purposes 	hjres2-108.5	4	 nigeria
17	 sec   prohibits the use of funds for   direct assistance or reparations to cuba iraq except humanitarian and relief assistance if it is in the u s national interest libya north korea iran sudan or syria 	hjres2-108.6	5	syria  sudan libya cuba iraq
18	 sec   prohibits the use of funds for   assistance excluding assistance to promote democracy to the government of any country whose duly elected head of government is deposed by military coup or decree 	hjres2-108.7	0	None
19	 sec   prohibits the use of funds for   assistance to the government of any country in default in excess of a year on payments on a u s loan unless the president determines such assistance is in the national interest 	hjres2-108.8	0	None
20	  prohibits funds appropriated under this act or appropriated under prior acts for foreign operations export financing and related programs from being made available to kedo authorizes the president to waive such requirement and provide specified amounts to kedo for administrative expenses if it is determined to be in the national security interests of the united states 	hjres2-108.9	0	None
21	 sec   prohibits the obligation of any appropriations for the plo for the west bank and gaza unless the president has exercised certain authorities to suspend prohibitions on assistance to the plo 	hjres2-108.10	0	None
22	 sec   prohibits the obligation of appropriations to create in jerusalem a new u s agency office for the purpose of conducting u s business with the palestinian authority over gaza and jericho or any successor palestinian governing entity provided for in the israel plo declaration of principles sec   	hjres2-108.11	1	 israel
23	prohibits the obligation of any appropriations for the plo unless the president certifies to congress that it is in the u s national security interests 	hjres2-108.12	0	None
24	 sec   prohibits funds appropriated by this act from being used to support a palestinian state unless the secretary of state certifies to the appropriate congressional committees that   a new leadership of a palestinian governing entity has been democratically elected   the governing entity of a new palestinian state has demonstrated a commitment to peace with israel and is taking appropriate measures to counter terrorism in the west bank and gaza and   the palestinian authority is working with other countries in the region to establish a lasting peace in the middle east that will enable israel and an independent palestinian state to coexist authorizes assistance intended to help reform the palestinian authority and affiliated institutions or a newly elected governing entity so it can meet the requirements of this section authorizes the president to waive such requirements if it is in the national security interests of the united states 	hjres2-108.13	2	 israel
25	 sec   makes foreign military financing program funds available to indonesia and authorizes the issuance of licenses for the export of lethal defense articles for the indonesian armed forces if the president certifies to the appropriate congressional committees that   the indonesia minister of defense is suspending from the armed forces those members who have committed gross violations of human rights or who have aided or abetted militia groups   the indonesian government is prosecuting such individuals   the indonesian armed forces are cooperating with civilian prosecutors and judicial authorities in such cases and   the minister of defense is making publicly available audits of receipts and expenditures of the indonesian armed forces 	hjres2-108.14	6	 indonesia
26	 sec   bars the use of funds appropriated by this act for assistance for the government of any country for which the secretary of state has determined there is credible evidence that it has aided or abetted within the previous six months in the illicit distribution transportation or sale of diamonds mined in sierra leone 	hjres2-108.15	1	None
27	 sec   makes certain foreign assistance funds that were available for the united nations population fund unfpa and an equal amount in this act available for the unfpa if the president determines that the unfpa no longer supports or participates in the management of a program of coercive abortion or involuntary sterilization 	hjres2-108.16	0	None
28	prohibits such funds made available to the unfpa to be used in china conditions the availability of such funds to unfpa on specified requirements 	hjres2-108.17	1	 china
29	bars the availability of appropriated funds or unobligated balances from prior appropriations to any organization or program which supports coercive abortions or involuntary sterilizations 	hjres2-108.18	0	None
30	authorizes funds to be made available in order to reduce reliance on abortion in developing nations to qualified voluntary family planning projects that   offer directly or through referral or offer information about access to a broad range of family planning methods and services and   meet specified requirements sec   prohibits the use of development assistance funds for abortions or involuntary sterilizations as methods of family planning to motivate or coerce any person to practice abortions or to provide any financial incentive to undergo sterilization 	hjres2-108.19	0	None
31	 sec   prohibits the use of funds to provide   assistance for any project that contributes to the violation of internationally recognized workers rights in the recipient country 	hjres2-108.20	0	None
32	 sec   bars the use of funds made available by this act for assistance except humanitarian assistance and assistance for democratization and the secretary of the treasury shall instruct the u s executive directors of the international financial institutions to vote against any new project involving the extension of financial or technical assistance to any country bosnia and herzegovina croatia and serbia entity or municipality that has failed to take necessary steps to implement its international legal obligations to apprehend and transfer to the international criminal tribunal for the former yugoslavia all persons in their territory who have been indicted by the tribunal and to otherwise cooperate with it 	hjres2-108.21	3	 croatia yugoslavia serbia
33	 sec   makes funds appropriated by this act available after june     for assistance for serbia if the president determines and certifies to the committees on appropriations that the government of the federal republic of yugoslavia or a government of a successor state is   cooperating with the international criminal tribunal for yugoslavia including regarding the surrender and transfer of indictees or assistance in their apprehension   taking steps consistent with the dayton accords to end serbian financial political security and other support which has served to maintain separate republika srpska institutions and   taking steps to implement policies which reflect a respect for minority rights and the rule of law including the release of political prisoners from serbian jails and prisons 	hjres2-108.22	5	 yugoslavia serbia
34	 sec   directs the secretary of the treasury to instruct the u s executive directors at specified international financial institutions to oppose any loan grant strategy or policy that would require user fees or service charges on poor people for primary education or primary health care including prevention and treatment efforts for hiv aids malaria tuberculosis and infant child and maternal well being in connection with the institution s lending programs 	hjres2-108.23	0	None
35	authorizes the president to withhold funds for economic revitalization programs in bosnia and herzegovina if the president certifies to the committees on appropriations that   the federation of bosnia and herzegovina has not complied with article iii of annex   a of the general framework agreement for peace in bosnia and herzegovina concerning the withdrawal of foreign forces and   intelligence cooperation on training investigations and related activities between state sponsors of terrorism and terrorist organizations and bosnian officials has not been terminated 	hjres2-108.24	0	None
36	withholds   percent of u s assistance allocated to the government of the russian federation until the president certifies to specified congressional committees that it   has terminated arrangements to provide iran with technical expertise training technology or equipment to develop a nuclear reactor or ballistic missile capability and   is providing full access to international nongovernmental organizations providing humanitarian relief to refugees and internally displaced persons in chechnya 	hjres2-108.25	0	None
37	prohibits foreign military financing for sudan liberia and guatemala 	hjres2-108.26	3	 liberia sudan guatemala
38	 sec   prohibits the use of funds made available under this act by opic and the export import bank of the united states to insure reinsure guarantee finance or extend credit in any project involving the mining polishing or other process or sale of diamonds in a country that fails to meet certain requirements with respect to the export and import of rough diamonds 	hjres2-108.27	0	None
39	 sec   prohibits funds appropriated by this act from being made available to provide assistance for a foreign country under a new bilateral agreement governing the terms under which such assistance is to be provided unless such agreement includes a provision stating that such assistance shall be exempt from taxation or reimbursed by the foreign government requires the secretary of state to negotiate amendments to existing bilateral agreements to conform them to such requirement sets forth certain requirements with respect to reimbursement of foreign taxes to the united states including the withholding of u s assistance in cases where a country does not reimburse the united states 	hjres2-108.28	0	None
40	  makes funds appropriated by this act available for assistance for the colombian armed forces caf to support the colombian government s unified campaign against narcotics trafficking and against paramilitary and guerrilla organizations designated as terrorist organizations allows the obligation of up to   percent of such funds before the secretary of state has certified to the appropriate congressional committees that the caf and the colombian government are taking specified steps to clear the caf of and bring to justice those members who have committed gross violations of human rights including extra judicial killings withholds the obligation of up to     percent of such assistance until the secretary of state certifies to the appropriate congressional committees that such steps are being taken and the caf are severing links with paramilitary organizations and apprehending their leaders permits obligation of the balance of such funds upon certification that the caf are continuing to meet these conditions 	hjres2-108.29	3	None
41	 sec   prohibits the secretary of state from issuing a visa to any alien who the secretary determines has willfully provided or conspired to provide support to the revolutionary armed forces of colombia farc the national liberation army eln or the united self defense forces of colombia auc 	hjres2-108.30	2	 colombia
42	 sec   withholds assistance to a foreign country in an amount equal to   percent of the total unpaid parking fines and penalties owed by the country to the district of columbia and new york city new york as of september     	hjres2-108.31	0	None
43	prohibits the united states from paying any voluntary contribution to the un including the un development program 	hjres2-108.32	0	None
44	 sec   prohibits the use of funds for the security forces of a foreign country if the secretary of state believes they have committed gross violations of human rights unless the secretary reports to the committees on appropriations that such country is taking steps to bring the responsible persons to justice 	hjres2-108.33	0	None
45	 sec   prohibits the availability of assistance for the independent states of the former soviet union to a government of such an independent state   unless it is making progress in implementing comprehensive economic reforms based on market principles private ownership respect for commercial contracts and equitable treatment of foreign private investment   if it applies or transfers u s assistance to any entity for the purpose of expropriating or seizing ownership of assets investments or ventures unless the president determines such assistance is in the national interest   if it directs action in violation of the territorial integrity or national sovereignty of any other independent state of the former soviet union or   to enhance its military capability except for demilitarization demining or nonproliferation programs subjects such assistance for the russian federation armenia georgia and the ukraine to the regular notification procedures of the committees on appropriations 	hjres2-108.34	3	armenia  ukraine georgia
46	 sec   directs the secretary of the treasury to instruct the u s executive directors of international financial institutions to oppose loans to the central government of cambodia except loans to support basic human needs prohibits the availability of funds under this act for assistance for the central government of cambodia with specified exceptions makes esf assistance available for activities to support democracy including assistance for democratic political parties in cambodia 	hjres2-108.35	0	None
47	 sec   directs the secretary of the treasury to withhold ten percent of the u s payment to any international financial institution until the secretary certifies that such institution has implemented certain procurement and financial management reforms 	hjres2-108.36	0	None
48	 sec   makes funds appropriated by this act available for assistance for the government of uzbekistan only if the secretary of state determines and reports to the committees on appropriations that it is making substantial and continuing progress in meeting its commitments under the declaration on the strategic partnership and cooperation framework between the republic of uzbekistan and the united states of america 	hjres2-108.37	3	uzbekistan 
49	 sec   prohibits the use of development assistance funds for abortions or involuntary sterilizations as methods of family planning to motivate or coerce any person to practice abortions or to provide any financial incentive to undergo sterilization makes funds appropriated by this act available to the government of kazakhstan only if the secretary of state determines and reports to the committees on appropriations that it has made significant improvements in the protection of human rights during the preceding six months authorizes the secretary to waive such requirement if it is in the national security interest of the united states 	hjres2-108.38	1	 kazakhstan
50	bars the use of development assistance funds for any activity which is in contravention of the convention on international trade in endangered species of flora and fauna cites 	hjres2-108.39	0	None
51	 sec   prohibits the use of funds from this act unless certain conditions are met to pay for costs incurred for   opening or operating any u s diplomatic or consular post in the socialist republic of vietnam that was not operating on july       expanding any such post that was in operation on such date or   increasing the number of personnel assigned to such posts above the level existing on such date allows the use of such funds for such purposes only if the president certifies that the vietnamese government is fully cooperating with the united states in specified activities relating to the investigation and recovery of missing u s military personnel including   resolution of discrepancy cases live sightings and field activities   recovery and repatriation of american remains   provision of documents on pow mias and   implementation of trilateral investigations with laos 	hr3610-104.1	1	 laos
52	 sec   prohibits the use of funds under this act for any united nations peacekeeping mission involving u s forces under the command or control of a foreign national if the president s military advisors have not recommended that such involvement is in the u s national security interest and the president has not submitted such a recommendation to the congress 	hr3610-104.2	0	None
53	 sec   prohibits the use of funds   for the modification of an aircraft weapon ship or other equipment that the military department concerned plans to retire or otherwise dispose of within five years after completion of the modification   by a dod entity without compliance with the buy american act   for the design development acquisition or operation of more than   titan iv expendable launch vehicles   for assistance to or programs in the democratic people s republic of north korea unless specifically appropriated for such purpose   to reduce the civilian medical and medical support personnel assigned to military treatment facilities below the september     level and   to transport chemical munitions to the johnston atoll for storage or demilitarization with an exception and an authorized wartime waiver by the president 	hr3610-104.3	0	None
54	title ii bilateral economic assistance makes appropriations for fy   for   economic support fund esf assistance but not for zaire   the international fund for ireland 	hr3610-104.4	1	 ireland
55	   economic assistance for eastern europe the baltic states and the independent states of the former soviet union   the peace corps but with a ban on fund use for abortions 	hr3610-104.5	0	None
56	title iii military assistance makes appropriations for fy   for   international military education and training with a ban on such assistance to zaire and guatemala 	hr3610-104.6	1	 guatemala
57	prohibits foreign military financing for   any non north atlantic treaty organization nato country participating in the partnership for peace program except through the regular notification procedures of the committees on appropriations and   zaire sudan liberia and guatemala 	hr3610-104.7	3	 liberia sudan guatemala
58	title v general provisions sets forth limits on the use of appropriations identical or very similar to restrictions enacted in the foreign operations export financing and related programs appropriations act   p l     notably with respect to   countries supporting the arab boycott of israel cuba iraq iran liberia montenegro the palestine liberation organization serbia terrorist countries or countries supporting terrorism or giving sanctuary to war criminals and   financial incentives to induce a business to relocate outside the united states or assistance to develop certain kinds of export processing zones in foreign countries 	hr3610-104.8	6	 israel serbia liberia cuba iraq montenegro
59	 sec   prohibits the use of funds for colombia guatemala except for development assistance the dominican republic haiti liberia pakistan peru serbia sudan or zaire except through the regular notification procedures of the committees on appropriations 	hr3610-104.9	9	 pakistan haiti sudan guatemala peru serbia liberia colombia
60	 sec   waives certain restrictions and authorizes the availability of funds for the guatemalan military forces only if the president certifies to the congress that the guatemalan military is cooperating fully with efforts to resolve human rights abuses and to negotiate a peace settlement 	hr3610-104.10	2	None
61	 sec   imposes certain economic sanctions against burma until the president certifies to the congress that burma has made progress in improving human rights and implementing democracy 	hr3610-104.11	0	None
62	 sec   requires the secretary of the treasury to instruct the u s executive director of each international financial institution to vote against any loan or other use of the institution s funds other than to address basic human needs for the government of any country with a known history of female genital mutilation which has not made the practice illegal or taken steps to implement educational programs to prevent it 	hr3610-104.12	0	None
63	 sec   requires the secretary of state s annual report to the congress on voting practices at the un to include a side by side comparison of individual countries overall support for the united states at the un and the amount of u s assistance provided to such country in fy   	hr3610-104.13	0	None
64	 sec   prohibits the use of funds under this act to pay any voluntary u s contribution to the un unless the president certifies to the congress that the un is not making any effort to impose any taxation on any u s persons 	hr3610-104.14	0	None
65	 sec   directs the secretary of state to report to the committee on appropriations about certain military activities of the democratic people s republic of korea 	hr3610-104.15	0	None
66	 sec   withholds specified funds from mexico until the president reports to the congress that mexico is taking action to reduce the flow of illegal drugs to the united states as well as enforce its laws against narcotic trafficking and money laundering 	hr3610-104.16	2	 mexico
67	 sec   amends the nato participation act of   to establish a presidential and congressional procedure for termination of eligibility for assistance for partnership for peace countries which   no longer meet certain eligibility criteria   are hostile to the nato alliance or   pose a national security threat to the united states 	hr3610-104.17	0	None
68	title ii american servicemembers protection act american servicemembers protection act of   prohibits u s cooperation with the international criminal court specifies restrictions on   participation by covered u s persons in united nations un peacekeeping and peace enforcement operations   transfer to the court of u s classified national security and law enforcement information and   the provision of u s military assistance with specified exceptions to the government of a country that is a party to the court sec   prescribes conditions for a presidential waiver of the prohibitions and requirements of this act sec   declares that the requirements of this act shall not prohibit   any action authorized by the president to bring about the release from captivity of any u s military personnel covered u s persons and certain other persons covered allied persons who are being detained or imprisoned against their will by or on behalf of the court or   communication by the united states of its policy with respect to a matter authorizes the president to use all means necessary including the provision of legal assistance to bring about the release of covered u s persons and covered allied persons held captive by on behalf or at the request of the court sec   urges the president to report to appropriate congressional committees on the degree to which   each military alliance to which the united states is a party may place u s armed forces under foreign control subject to the court s jurisdiction and   u s armed forces engaged in military operations pursuant to such alliance may be exposed to greater risks as a result of being placed under such foreign control 	hr4775-107.1	0	None
69	 sec   makes specified funds appropriated by this and other acts available to support the colombian government s unified campaign against narcotics trafficking and certain terrorist organizations subject to reports by the secretary to congress that the president of colombia has committed in writing to comprehensive policies to combat illicit drug cultivation and trafficking reform the colombian armed forces and commit sufficient resources to fulfill the country s previous commitments under plan colombia terminates funding if the secretary has credible evidence that vigorous efforts are not being made to restore government authority and human rights in guerilla controlled areas prohibits u s contractors or armed forces from participating in any combat operations sec   permits the use of dod funds available for assistance to colombia to be used to combat narcotics trafficking and terrorist organization activity as well as emergency rescue and health and welfare actions 	hr4775-107.2	5	 colombia
70	   authorizes the president to continue to provide assistance to russia under cooperative threat reduction programs and the freedom support act under an alternative certification requirement if such assistance is vital to u s national security interests	hr4775-107.3	0	None
71	prohibits the bank from providing any export financing loans or financial services to china waives such prohibitions with respect to food or agricultural commodities authorizes the president to waive such prohibitions if he reports to the congress that   the chinese government has made progress on a program of political reform in china and tibet or   it is in the u s national interest to terminate such suspension expresses the sense of the congress that the president should   instruct the u s executive directors of the world bank and the asian development bank to oppose the extension of any financial or technical assistance to china and   consider china to be a country engaging in gross violations of human rights for purposes of the international financial institutions act until the president determines that the repression and reprisals against persons in connection with prodemocracy demonstrations has ended 	hr2494-101.1	5	 tibet china
72	prohibits the bank from guaranteeing insuring or extending credit in connection with the exports of goods other than food or agricultural commodities or services to angola until the president certifies to the congress that free and fair elections have been held in angola and that the angolan government   is seeking to achieve an equitable political settlement of conflict through a mutual cease fire and a dialogue with opposition armed forces and   has demonstrated progress in protecting human and worker rights and other attributes of political pluralism and democracy 	hr2494-101.2	3	 angola
73	expresses the sense of the congress that the secretary should instruct certain multilateral lending institutions to   act promptly upon requests by poland for the establishment of financial institutions and businesses involved in credit and financial services in poland and   propose that such institutions prohibit financial assistance or debt forgiveness to poland until the polish government allows privately owned entities in foreign countries to invest in private commercial ventures in poland 	hr2494-101.3	4	 poland
74	declares that the president should encourage countries that conduct trade with cuba to restrict their trade and credit regulations with cuba in a manner consistent with this act authorizes the president to impose the following sanctions against countries that provide assistance to cuba   ineligibility for assistance under the foreign assistance act of   or the arms export control act and   ineligibility for forgiveness or reduction of debt owed to the u s government terminates such sanctions if the president reports to the congress that cuba has met conditions established under this act concerning democracy human rights and a free market economy prohibits restrictions on the export to cuba of medicines subject to specified conditions and inspection requirements permits telecommunications services between the united states and cuba 	hr5006-102.1	6	 cuba
